class;name;compo;mz;std;
GPCho;C38H76NO8P;PC 30:0;706.5381;no;
GPCho;C40H80NO7P;PC P-32:1;718.5745;no;
GPCho;C40H82NO7P;PC O-32:0;720.5902;no;
GPCho;C40H76NO8P;PC 32:2;730.5381;no;
GPCho;C40H78NO8P;PC 32:1;732.5538;no;
GPCho;C40H80NO8P;PC 32:0;734.5694;no;
GPCho;C42H80NO7P;PC P-34:3;742.5745;no;
GPCho;C42H82NO7P;PC P-34:2;744.5902;no;
GPCho;C41H80NO8P;PC 33:1;746.5694;no;
GPCho;C42H84NO7P;PC O-34:1;746.6058;no;
GPCho;C41H82NO8P;PC 33:0;748.5851;no;
GPCho;C42H86NO7P;PC O-34:0;748.6215;no;
GPCho;C42H76NO8P;PC 34:4;754.5381;no;
GPCho;C42H78NO8P;PC 34:3;756.5538;no;
GPCho;C42H80NO8P;PC 34:2;758.5694;no;
GPCho;C42H82NO8P;PC 34:1;760.5851;no;
GPCho;C42H84NO8P;PC 34:0;762.6007;no;
GPCho;C44H80NO7P;PC P-36:5;766.5745;no;
GPCho;C43H78NO8P;PC 35:4;768.5538;no;
GPCho;C44H82NO7P;PC O-36:4;768.5902;no;
GPCho;C43H80NO8P;PC 35:3;770.5694;no;
GPCho;C44H84NO7P;PC P-36:3;770.6058;no;
GPCho;C43H82NO8P;PC 35:2;772.5851;no;
GPCho;C44H86NO7P;PC P-36:2;772.6215;no;
GPCho;C43H84NO8P;PC 35:1;774.6007;no;
GPCho;C44H88NO7P;PC P-36:0;774.6371;no;
GPCho;C43H86NO8P;PC 35:0;776.6164;no;
GPCho;C44H76NO8P;PC 36:6;778.5381;no;
GPCho;C44H78NO8P;PC 36:5;780.5538;no;
GPCho;C44H80NO8P;PC 36:4;782.5694;no;
GPCho;C44H82NO8P;PC 36:3;784.5851;no;
GPCho;C44H84NO8P;PC 36:2;786.6007;no;
GPCho;C44H86NO8P;PC 36:1;788.6164;no;
GPCho;C46H80NO7P;PC P-38:7;790.5745;no;
GPCho;C45H78NO8P;PC 37:6;792.5538;no;
GPCho;C46H82NO7P;PC O-38:6;792.5902;no;
GPCho;C45H80NO8P;PC 37:5;794.5694;no;
GPCho;C46H84NO7P;PC P-38:4;794.6058;no;
GPCho;C45H82NO8P;PC 37:4;796.5851;no;
GPCho;C46H86NO7P;PC O-38:4;796.6215;no;
GPCho;C45H84NO8P;PC 37:3;798.6007;no;
GPCho;C45H86NO8P;PC 37:2;800.6164;no;
GPCho;C46H76NO8P;PC 38:8;802.5381;no;
GPCho;C45H88NO8P;PC 37:1;802.632;no;
GPCho;C46H78NO8P;PC 38:7;804.5538;no;
GPCho;C46H80NO8P;PC 38:6;806.5694;no;
GPCho;C46H82NO8P;PC 38:5;808.5851;no;
GPCho;C46H84NO8P;PC 38:4;810.6007;no;
GPCho;C46H86NO8P;PC 38:3;812.6164;no;
GPCho;C46H88NO8P;PC 38:2;814.632;no;
GPCho;C46H90NO8P;PC 38:1;816.6477;no;
GPCho;C48H84NO7P;PC P-40:7;818.6058;no;
GPCho;C47H82NO8P;PC 39:6;820.5851;no;
GPCho;C48H86NO7P;PC O-40:6;820.6215;no;
GPCho;C47H84NO8P;PC 39:5;822.6007;no;
GPCho;C48H88NO7P;PC O-40:5;822.6371;no;
GPCho;C47H86NO8P;PC 39:4;824.6164;no;
GPCho;C48H78NO8P;PC 40:9;828.5538;no;
GPCho;C48H80NO8P;PC 40:8;830.5694;no;
GPCho;C48H82NO8P;PC 40:7;832.5851;no;
GPCho;C48H84NO8P;PC 40:6;834.6007;no;
GPCho;C48H86NO8P;PC 40:5;836.6164;no;
GPCho;C48H88NO8P;PC 40:4;838.632;no;
GPCho;C49H86NO8P;PC 41:6;848.6164;no;
GPCho;C50H80NO8P;PC 42:10;854.5694;no;
GPCho;C50H82NO8P;PC 42:9;856.5851;no;
GPCho;C50H84NO8P;PC 42:8;858.6007;no;
GPCho;C50H86NO8P;PC 42:7;860.6164;no;
GPCho;C50H88NO8P;PC 42:6;862.632;no;
GPCho;C50H90NO8P;PC 42:5;864.6477;no;
GPCho;C52H80NO8P;PC 44:12;878.5694;no;
GPCho;C52H82NO8P;PC 44:11;880.5851;no;
GPCho;C52H84NO8P;PC 44:10;882.6007;no;
GPCho;C52H86NO8P;PC 44:9;884.6164;no;
GPCho;C62H100NO8P;PC 54:12;1018.7259;no;
GPCho;C62H102NO8P;PC 54:11;1020.7416;no;
GPCho;C62H104NO8P;PC 54:10;1022.7572;no;
GPCho;C62H106NO8P;PC 54:9;1024.7729;no;
GPCho;C62H108NO8P;PC 54:8;1026.7885;no;
GPCho;C62H110NO8P;PC 54:7;1028.8042;no;
GPCho;C62H112NO8P;PC 54:6;1030.8198;no;
GPCho;C64H104NO8P;PC 56:12;1046.7572;no;
GPCho;C64H106NO8P;PC 56:11;1048.7729;no;
GPCho;C64H108NO8P;PC 56:10;1050.7885;no;
GPCho;C64H110NO8P;PC 56:9;1052.8;no;
GPCho;C66H108NO8P;PC 58:12;1074.7885;no;
GPCho;C66H110NO8P;PC 58:11;1076.8042;no;
GPCho;C66H112NO8P;PC 58:10;1078.8198;no;
GPEtn_Pos;C37H72NO7P;PE P-32:1;674.5119;no;
GPEtn_Pos;C37H74NO7P;PE P-32:0;676.5275;no;
GPEtn_Pos;C37H72NO8P;PE 32:1;690.5068;no;
GPEtn_Pos;C37H74NO8P;PE 32:0;692.5224;no;
GPEtn_Pos;C39H74NO7P;PE P-34:2;700.5275;no;
GPEtn_Pos;C39H76NO7P;PE P-34:1;702.5432;no;
GPEtn_Pos;C39H72NO8P;PE 34:3;714.5068;no;
GPEtn_Pos;C39H74NO8P;PE 34:2;716.5224;no;
GPEtn_Pos;C39H76NO8P;PE 34:1;718.5381;no;
GPEtn_Pos;C39H78NO8P;PE 34:0;720.5537;no;
GPEtn_Pos;C41H72NO7P;PE P-36-5;722.5119;no;
GPEtn_Pos;C41H74NO7P;PE P-36:4;724.5275;no;
GPEtn_Pos;C41H76NO7P;PE O-36:4;726.5432;no;
GPEtn_Pos;C41H78NO7P;PE O-36:3;728.5588;no;
GPEtn_Pos;C41H80NO7P;PE P-36:1;730.5745;no;
GPEtn_Pos;C41H82NO7P;PE O-36:1;732.5901;no;
GPEtn_Pos;C41H72NO8P;PE 36:5;738.5068;no;
GPEtn_Pos;C41H74NO8P;PE 36:4;740.5224;no;
GPEtn_Pos;C41H76NO8P;PE 36:3;742.5381;no;
GPEtn_Pos;C41H78NO8P;PE 36:2;744.5537;no;
GPEtn_Pos;C41H80NO8P;PE 36:1;746.5694;no;
GPEtn_Pos;C43H74NO7P;PE P-38:6;748.5275;no;
GPEtn_Pos;C43H76NO7P;PE O-38:6;750.5432;no;
GPEtn_Pos;C43H78NO7P;PE P-38:4;752.5588;no;
GPEtn_Pos;C43H80NO7P;PE O-38:4;754.5745;no;
GPEtn_Pos;C43H72NO8P;PE 38:7;762.5068;no;
GPEtn_Pos;C43H74NO8P;PE 38:6;764.5224;no;
GPEtn_Pos;C43H76NO8P;PE 38:5;766.5381;no;
GPEtn_Pos;C43H78NO8P;PE 38:4;768.5537;no;
GPEtn_Pos;C43H80NO8P;PE 38:3;770.5694;no;
GPEtn_Pos;C45H76NO7P;PE O-40:8;774.5432;no;
GPEtn_Pos;C45H78NO7P;PE P-40:6;776.5588;no;
GPEtn_Pos;C45H80NO7P;PE O-40:6;778.5745;no;
GPEtn_Pos;C45H82NO7P;PE P-40:4;780.5901;no;
GPEtn_Pos;C45H84NO7P;PE O-40:4;782.6058;no;
GPEtn_Pos;C45H74NO8P;PE 40:8;788.5224;no;
GPEtn_Pos;C45H76NO8P;PE 40:7;790.5381;no;
GPEtn_Pos;C45H78NO8P;PE 40:6;792.5537;no;
GPEtn_Pos;C45H80NO8P;PE 40:5;794.5694;no;
GPEtn_Pos;C45H82NO8P;PE 40:4;796.585;no;
GPEtn_Pos;C47H74NO8P;PE 42:10;812.5224;no;
GPEtn_Pos;C47H76NO8P;PE 42:9;814.5381;no;
GPEtn_Pos;C47H78NO8P;PE 42:8;816.5537;no;
GPEtn_Pos;C47H80NO8P;PE 42:7;818.5694;no;
GPEtn_Pos;C47H82NO8P;PE 42:6;820.585;no;
GPEtn_Pos;C49H74NO8P;PE 44:12;836.5224;no;
GPEtn_Pos;C49H76NO8P;PE 44:11;838.5381;no;
GPEtn_Pos;C49H78NO8P;PE 44:10;840.5537;no;
GPEtn_Pos;C51H78NO8P;PE 46:12;864.5537;no;
GPEtn_Pos;C51H80NO8P;PE 46:11;866.5694;no;
GPSer;C38H72NO10P;PS 32:1;734.4967;no;
GPSer;C38H74NO10P;PS 32:0;736.5123;no;
GPSer;C40H74NO10P;PS 34:2;760.5123;no;
GPSer;C40H76NO10P;PS 34:1;762.528;no;
GPSer;C40H78NO10P;PS 34:0;764.5436;no;
GPSer;C41H70NO10P;PS 35:5;768.481;no;
GPSer;C41H72NO10P;PS 35:4;770.4967;no;
GPSer;C42H82NO9P;PS P-36:1;776.58;no;
GPSer;C42H84NO9P;PS O-36:0;778.5956;no;
GPSer;C42H78NO10P;PS 36:2;788.5436;no;
GPSer;C42H80NO10P;PS 36:1;790.5593;no;
GPSer;C42H82NO10P;PS 36:0;792.5749;no;
GPSer;C44H86NO9P;PS O-38:1;804.6113;no;
GPSer;C44H74NO10P;PS 38:6;808.5123;no;
GPSer;C44H76NO10P;PS 38:5;810.528;no;
GPSer;C44H78NO10P;PS 38:4;812.5436;no;
GPSer;C44H80NO10P;PS 38:3;814.5593;no;
GPSer;C44H82NO10P;PS 38:2;816.5749;no;
GPSer;C44H84NO10P;PS 38:1;818.5906;no;
GPSer;C45H88NO10P;PS 39:0;834.6219;no;
GPSer;C46H78NO10P;PS 40:6;836.5436;no;
GPSer;C46H86NO10P;PS 40:2;844.6062;no;
GPSer;C48H76NO10P;PS 42:9;858.528;no;
GPSer;C48H86NO10P;PS 42:4;868.6062;no;
GPSer;C48H88NO10P;PS 42:3;870.6219;no;
GPSer;C50H74NO10P;PS 44:12;880.5123;no;
GPSer;C50H78NO10P;PS 44:10;884.5436;no;
Cer;C28H55NO4;Cer 28:1_O3;470.4204;no;
Cer;C30H53NO3;Cer 30:4_O2;476.4098;no;
Cer;C32H55NO3;Cer 32:5_O2;502.4255;no;
